q,D,R,CR
50,24.36980058,0.240509033,33.26278391
49,24.50260425,0.24697876,32.3914494
48,24.32029142,0.253143311,31.6026522
47,24.39633502,0.261169434,30.63145595
46,24.36281817,0.267852783,29.86715279
45,24.59853617,0.274505615,29.14330183
44,25.06220097,0.282562256,28.31234475
43,25.42871661,0.291137695,27.47840671
42,25.74636228,0.298980713,26.75757885
41,25.75772088,0.307037354,26.05546168
40,25.84363139,0.316101074,25.30836069
39,25.81890444,0.324584961,24.64685972
38,26.18258035,0.335784912,23.82477506
37,26.43959854,0.346282959,23.10249405
36,26.74676116,0.356689453,22.42847365
35,26.94298305,0.367675781,21.75830013
34,27.2576126,0.379974365,21.05405188
33,27.3423901,0.392364502,20.38920432
32,27.47359532,0.405975342,19.70563031
31,27.97204495,0.419921875,19.05116279
30,28.17960975,0.433624268,18.44915195
29,28.26592477,0.448638916,17.83171213
28,28.37810712,0.464569092,17.22025882
27,28.89528127,0.482666016,16.57460799
26,29.15946366,0.502166748,15.93096323
25,29.41072416,0.521392822,15.34351771
24,29.76766157,0.541931152,14.76202275
23,30.24182429,0.565429688,14.14853195
22,30.42617933,0.589508057,13.57063726
21,30.62244345,0.616241455,12.98192443
20,31.02435245,0.646392822,12.37637505
19,31.34909674,0.679443359,11.77434423
18,31.66600097,0.715240479,11.18504928
17,32.26338075,0.755279541,10.59210473
16,32.77850543,0.79864502,10.01696599
15,33.17657895,0.850830078,9.402582496
14,33.71895513,0.908905029,8.801799684
13,34.18099139,0.975067139,8.204563237
12,34.82327916,1.055786133,7.577292173
11,35.31266478,1.147399902,6.97228576
10,36.05642903,1.258117676,6.358705671
9,36.85098718,1.388305664,5.762419766
8,37.67257436,1.547088623,5.171003058
7,38.62627383,1.743225098,4.589195056
6,39.95326183,1.985046387,4.030132522
5,41.1093516,2.253356934,3.550258674
4,42.83670714,2.585266113,3.094459003
3,44.77702632,3.017150879,2.651508102
2,47.52498649,3.634307861,2.201244447
1,50.89947932,4.796417236,1.667911611
